kolmen	Hän saapui paikalle kolmen jälkeen.
eronnut	Hän on eronnut viime vuonna.
äänen	Hän kuuli kaukaa tutun äänen.
avointa	Hän etsii avointa työpaikkaa.
jäi	Hän jäi odottamaan bussia.
kannattaa	On kannattaa aina syödä terveellisesti.
arovuokkohan	Arovuokkohan on yksi kauneimmista kevään kukista.
keskittynyt	Hän on keskittynyt työhönsä koko päivän.
loikki	Kani loikki nopeasti metsän läpi.
koki	Hän koki suurta iloa voittaessaan kilpailun.
kommentoinut	Hän ei ole vielä kommentoinut asiaa.
kolmesta	Hän tulee töistä joka päivä kolmesta eteenpäin.
eli	Hän on minun paras ystäväni, eli hän on aina tukenani.
erityisrahoituksella	Projekti toteutettiin erityisrahoituksella.
kauden	Jalkapallojoukkue valmistautuu tulevaan kauteen intensiivisesti.
kampanjoinut	Hän on kampanjoinut aktiivisesti viime kuukausina.
hallitusratkaisut	Hallitusratkaisut vaikuttavat suoraan kansalaisten elämään.
kannattajat	Jalkapallojoukkueen kannattajat juhlivat voittoa kaupungin keskustassa.
kielelle	Tämä ruoka maistuu hyvältä kielelle.
asiat	Kaikki asiat ovat järjestyksessä.
luopui	Hän luopui unelmastaan tulla lääkäriksi.
onko	Onko sinulla kynää?
loitontaa	Voit loitontaa karttaa nähdäksesi koko kaupungin.
maanantaina	Tapasin hänet maanantaina kaupungilla.
maanantaihin	Minun täytyy palauttaa kirja kirjastoon viimeistään ensi maanantaihin mennessä.
ollutkaan	En ole ollutkaan niin väsynyt kuin luulin.
neuvottelut	Hallitus jatkaa neuvottelut huomenna.
osakkeen	Hän osti yhden osakkeen suuresta yrityksestä.
päivää	Hyvää päivää, kuinka voin auttaa?
nousukiitoa	Lentokone oli nousukiidossa kun katselin sitä lentokentältä.
omasta	Hän puhui oman elämänsä oloista oman kokemuksensa pohjalta.
palaverin	Hän osallistui tärkeään palaverin jälkeen.
perussuomalaisen	Hän on perussuomalaisen puolueen jäsen.
pitkän	Hän on ollut poissa pitkän aikaa.
palkata	Voimme palkata uuden työntekijän ensi viikolla.
parlamentin	Parlamentin jäsenet äänestivät uuden lain puolesta.
pienin	Hän on perheen pienin.
plakkariin	Hän laittoi puhelimensa takaisin plakkariin.
prosenttiin	Inflaatio nousi viiteen prosenttiin viime kuussa.
perussuomalaisten	Perussuomalaisten kannatus on kasvanut viime kuukausina.
ratkaisua	Etsimme edelleen tähän ongelmaan ratkaisua.
seitsemältä	Hän herää joka aamu seitsemältä.
puolestaan	Hän puolestaan ei ollut samaa mieltä.
silloisesta	Hän muisteli silloisesta elämästään.
säätöä	Tämä projekti on ollut todella paljon säätöä.
S-ryhmän	S-ryhmän kaupat ovat suosittuja Suomessa.
taakseen	Hän katsoi taakseen ennen kuin ylitti tien.
sosiaalisen	Hän on erittäin aktiivinen sosiaalisen median käyttäjä.
suojattinsa	Hän otti suojattinsa turvaan myrskyn alta.
suosituin	Hän on luokkansa suosituin opiskelija.
salaukset	Tietokoneiden salaukset ovat tärkeitä tietoturvan kannalta.
suuren	Hän sai suuren kunnianosoituksen työstään.
uusia	Hänellä on paljon uusia ideoita.
tulevaksi	Hän valmistautuu tulevaksi viikonlopuksi.
tiiminä	Me työskentelemme tiiminä tämän projektin parissa.
tehdään	Huomenna tehdään suuri siivous.
vasemmiston	Vasemmiston ehdokas voitti vaalit.
vieraaksi	Hän tunsi itsensä vieraaksi omassa kodissaan.
tapahtunut	Mitä on tapahtunut sinun päiväsi aikana?
uudella	Hän osti uudella luottokortillaan uuden tietokoneen.
uraa	Hän seuraa intohimoisesti uraansa lääkärinä.
vasemmistoliitolle	Anna äänesi Vasemmistoliitolle seuraavissa vaaleissa.
väen	Väen määrä kasvoi nopeasti tapahtuman aikana.
vaivautunut	Hän näytti vaivautuneelta koko illan.
valinnut	Olen valinnut sinut olemaan ystäväni.
yksinkertaisella	Voit ratkaista tämän ongelman yksinkertaisella tavalla.
yksinkertaista	Tämä on hyvin yksinkertaista ymmärtää.
yöpaikka	Etsimme edullista yöpaikkaa kaupungista.
vuoksi	Hän joutui lähtemään töistä aikaisin sairauden vuoksi.
ymmärtänyt	En ole ymmärtänyt kaikkea, mitä olet sanonut.
