word	segments	num_segments	sentence
aasi	aasi	1	Aasi on hyvin älykäs eläin.
affiini	affiini	1	Matematiikassa affiini tarkoittaa tietynlaista geometrista muunnosta.
aho	aho	1	Ulkona näkyi aho, jonka kauneutta oli vaikea kuvailla.
aito	aito	1	Tämä on aito taulu, ei jäljennös.
akku	akku	1	Minun täytyy ladata puhelimeni akku.
ala	ala	1	Hän ei ala ala-arvoiseen työhön.
apu	apu	1	Apu-lehti loksahti postiluukusta sisään.
armo	armo	1	Armo on suuri lahja, joka annetaan kaikille.
arpa	arpa	1	Arpa on heitetty ja voittaja on selvillä.
arrogantti	arrogantti	1	Hän on todella arrogantti henkilö.
delikaatti	delikaatti	1	Tämä asia on erittäin delikaatti.
demo	demo	1	Bändin uusi demo kuuloistaa todella hyvältä.
ehto	ehto	1	Ainoa ehto rauhalle on, että kaikki osapuolet ovat tyytyväisiä.
eksistentiaali	eksistentiaali	1	Eksistentiaali kysymys on sellainen, joka liittyy olemassaoloon.
elämä	elämä	1	Elämä on kaunista.
fiksu	fiksu	1	Hän on todella fiksu.
haalea	haalea	1	Auton haalea väripinta näytti todella huonolta.
häkäinen	häkäinen	1	Auto oli niin häkäinen, että sitä oli vaarallista hengittää sisään.
halpa	halpa	1	Tämä tuote on todella halpa.
hauska	hauska	1	Koomikko Ilari Johansson on todella hauska.
heikohko	heikohko	1	Hänen vointinsa oli vieläkin heikohko.
hervoton	hervoton	1	Hervoton nauru täytti koko huoneen.
hirmu	hirmu	1	Hän juoksi hirmu hirmu nopeasti.
hoikka	hoikka	1	Hän on erittäin hoikka ihminen.
humu	humu	1	Kesäjuhlien humu oli korviahuumaava.
hymy	hymy	1	Hänen kasvoillaan oli leveä hymy.
hyponyymi	hyponyymi	1	Hyponyymi on alakäsite, joka kuuluu jonkin yläkäsitteen alle.
ihme	ihme	1	On todellinen ihme, että hän selvisi onnettomuudesta vahingoittumattomana.
iloinen	iloinen	1	Olen todella iloinen, että tulit käymään.
karhea	karhea	1	Hänen partansa oli karhea, kuin hiekkapaperi.
keppi	keppi	1	Keppi on hyvä apuväline kävellessä.
kiekko	kiekko	1	Hän löi kiekon maaliin ilmaveivillä.
kierto	kierto	1	Planeetojen kierto auringon ympäri on tarkkaan määritelty prosessi, joka seuraa luonnonlakeja.
kikka	kikka	1	Hän käytti vanhaa kikkaa saadakseen autonsa käynnistymään.
kilo	kilo	1	Kilo kanaa maksaa USA:ssa kaupassa vain muutaman dollarin.
kirjain	kirjain	1	Kirjoita se kirjain kaunokirjoituksella.
kova	kova	1	Hän on kova kova työskentelemään, viipyen toimistolla iltamyöhään asti.
laakeri	laakeri	1	Mun skeittilaudan laakerit on tuliterät.
laguuni	laguuni	1	Hän vietti päivänsä uiden kauniissa laguunissa.
laiha	laiha	1	Se on kyllä laiha lohtu, sanoi hän.
leppä	leppä	1	Leppä on kaunis suomalainen puulaji.
pehmeä	pehmeä	1	Pehmeä patja on täksi yölle paras vaihtoehto.
pelottava	pelottava	1	Se on todella pelottava elokuva, jota en halua katsoa yksin.
robusti	robusti	1	Tämä rakennus on erittäin robusti ja kestävä.
rohkea	rohkea	1	Hän on todella rohkea henkilö.
roteva	roteva	1	Hän on roteva mies, joka tekee kovasti töitä.
sileä	sileä	1	Tämä kangas on erittäin sileä.
surullinen	surullinen	1	Hän oli todella surullinen, huomattuaan lemmikkinsä kuolleen.
vihainen	vihainen	1	Hän on todella vihainen sinulle.
